,notice_title,URL,Date of Notice, Event Number,Rapid Response Specialist,Reason Stated for Filing,Company,County,WDB Name, Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification,Amended
1916,"The Hoxton, Williamsburg LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7186, 3/20/2020, 2019-0473, Stuart Goldberg, Temporary Plant Closing,"      The Hoxton, Williamsburg LLC 97 Wythe Ave. Brooklyn, NY 11249", Kings , NEW YORK CITY , New York City," Kelsey Terrell, People Director, North America", (718) 215-7100, Restaurant,121, -----, 3/20/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1917,"Rumble Fitness, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7187, 3/20/2020, 2019-0418, Stuart Goldberg, Temporary Plant Layoff,"      Rumble Fitness, LLC 1495 3rd Avenue New York, NY 10028", New York , NEW YORK CITY , New York City," Ashley Camerini, Chief Business Officer", (917) 494-2664, Gym,146, -----, 3/18/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1918,"Ennismore International USA, Inc. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7188, 3/20/2020, 2019-0419, Stuart Goldberg, Temporary Plant Layoff,"      Ennismore International USA, Inc. 101 N. 10th Street #204 Brooklyn, NY 11249", Kings , NEW YORK CITY , New York City," Mariel M. Ulane, VP of People, North America", (929) 252-9878, Real Estate,8, -----, 3/20/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1919,Pola Restaurant Inc. - Casa Mono - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7189, 3/18/2020, 2019-0483, Stuart Goldberg, Temporary Plant Layoff,"      Pola Restaurant Inc. - Casa Mono 52 Irving Place New York, NY 10003", New York , NEW YORK CITY , New York City," Missy Adriazola, VP, Human Resources", (646) 556-5467, Restaurant,45, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1920,Del Posto (Il Posto LLC) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7190, 3/18/2020, 2019-0482, Stuart Goldberg, Temporary Plant Layoff,"      Del Posto (Il Posto LLC) 85 10th Avenue New York, NY 10011", New York , NEW YORK CITY , New York City," Missy Adriazola, VP, Human Resources", (646) 556-5467, Restaurant,163, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1921,Felidia Restaurant Inc. - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7191, 3/18/2020, 2019-0481, Stuart Goldberg, Temporary Plant Layoff,"      Felidia Restaurant Inc. 243 E 58th Street New York, NY 10022", New York , NEW YORK CITY , New York City," Missy Adriazola, VP, Human Resources", (646) 556-5467, Restaurant,50, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1922,Lupa Osteria Romana (Red Clam LLC) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7192, 3/18/2020, 2019-0480, Stuart Goldberg, Temporary Plant Layoff,"      Lupa Osteria Romana (Red Clam LLC) 170 Thompson Street New York, NY 10012", New York , NEW YORK CITY , New York City," Missy Adriazola, VP, Human Resources", (646) 556-5467, Restaurant,46, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1923,"Otto Enoteca Pizzeria, Pane Sardo LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7193, 3/18/2020, 2019-0479, Stuart Goldberg, Temporary Plant Layoff,"      Otto Enoteca Pizzeria, Pane Sardo LLC One 5th Ave New York, NY 10003", New York , NEW YORK CITY , New York City," Missy Adriazola, VP, Human Resources", (646) 556-5467, Restaurant,52, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1924,"Pod Times Square, LLC dba The Pod Times Square Hotel - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7194, 3/19/2020, 2019-0478, Stuart Goldberg, Temporary Plant Layoff,"      Pod Times Square, LLC dba The Pod Times Square Hotel 400 West 42nd Street New York, NY 10036", New York , NEW YORK CITY , New York City," Alain Derderian, General Manager", (646) 973-4817, Hotel,118, -----, 3/18/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Layoff,
1925,"CF Management-NY, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7195, 3/19/2020, 2019-0491, Stuart Goldberg, Temporary Plant Layoff,"      CF Management-NY, LLC 200 Baychester Ave Bronx, NY 10475", New York , NEW YORK CITY , New York City," Rachel Reger, Director of Human Resources", (630) 318-3457, Gym,74, -----, 3/17/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1926,"CF Management-NY, LLC - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=7196, 3/19/2020, 2019-0492, Frederick Danks, Temporary Plant Layoff,"      CF Management-NY, LLC 1 Sunrise Mall Suite 1297 Massapequa, NY 11758", Nassau , OYSTER BAY , Long Island," Rachel Reger, Director of Human Resources", (630) 318-3457, Gym,83, -----, 3/17/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1927,"CF Management-NY, LLC - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=7197, 3/19/2020, 2019-0493, Frederick Danks, Temporary Plant Layoff,"      CF Management-NY, LLC 630 Old Country Road Garden City, NY 11530", Nassau , HEMPSTEAD , Long Island," Rachel Reger, Director of Human Resources", (630) 318-3457, Gym,109, -----, 3/17/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1928,"Orlandi, Inc. - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=7198, 3/19/2020, 2019-0468, Frederick Danks, Temporary Plant Layoff,"      Orlandi, Inc. 131 Executive Blvd. Farmingdale, NY 11735", Nassau , OYSTER BAY , Long Island," Sven Dobler, CEO", (631) 756-0110, Fragrance Manufacturing,63, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----," Local 2013, UFCW", Temporary Plant Layoff,
1929,"Madison Restaurant, LLC dba Kappo Masa - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7199, 3/21/2020, 2019-0474, Stuart Goldberg, Temporary Plant Closing,"      Madison Restaurant, LLC dba Kappo Masa 976 Madison Ave. New York, NY 10075", New York , NEW YORK CITY , New York City," Joe Imperato, HR Director", (914) 588-3247, Restaurant,66,66, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1930,American Sales Management Organization LLC dba Eulen America - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7200, 3/18/2020, 2019-0475, Stuart Goldberg, Temporary Plant Layoff,"      American Sales Management Organization LLC dba Eulen America JFK Airport Queens, NY 11430", Queens , NEW YORK CITY , New York City," Kiomara Hidalgo, Vice President of Human Resources", (305) 269-2700, Airline Sales,"1,321","2,643", 3/19/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1931,"Legacy Recording, LLC dba Legacy Records - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7201, 3/18/2020, 2019-0490, Stuart Goldberg, Temporary Plant Closing,"      Legacy Recording, LLC dba Legacy Records 517 West 38th Street New York, NY 10018", New York , NEW YORK CITY , New York City," Ambryn Alam, Director of Human Resources", (929) 418-0101, Restaurant,84,84, 3/18/2020, 3/18/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1932,"Kennedy Organics, LLC dba Charlie Bird - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7202, 3/18/2020, 2019-0489, Stuart Goldberg, Temporary Plant Closing,"      Kennedy Organics, LLC dba Charlie Bird 5 King Street New York, NY 10012", New York , NEW YORK CITY , New York City," Ambryn Alam, Director of Human Resources", (929) 418-0101, Restaurant,63,63, 3/18/2020, 3/18/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1933,"Elmer Kennedy, LLC dba Pasquale Jones - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7203, 3/18/2020, 2019-0488, Stuart Goldberg, Temporary Plant Closing,"      Elmer Kennedy, LLC dba Pasquale Jones 187 Mulberry Street New York, NY 10012", New York , NEW YORK CITY , New York City," Ambryn Alam, Director of Human Resources", (929) 418-0101, Restaurant,39,39, 3/18/2020, 3/18/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1934,"Delicious Hospitality Group, LLC dba Delicious Hospitality Group - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7204, 3/18/2020, 2019-0487, Stuart Goldberg, Temporary Plant Closing,"      Delicious Hospitality Group, LLC dba Delicious Hospitality Group 5 King Street Apt. 2E New York, NY 10012", New York , NEW YORK CITY , New York City," Ambryn Alam, Director of Human Resources", (929) 418-0101, Restaurant,7,7, 3/18/2020, 3/18/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1935,"Babbo, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7205, 3/18/2020, 2019-0485, Stuart Goldberg, Temporary Plant Layoff,"      Babbo, LLC 110 Waverly Place New York, NY 10011", New York , NEW YORK CITY , New York City," Missy Adriazola, VP, Human Resources", (646) 556-5467 Ext:, Restaurant,96, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1936,"Becco (Pola Restaurant, Inc.) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7206, 3/18/2020, 2019-0484, Stuart Goldberg, Temporary Plant Layoff,"      Becco (Pola Restaurant, Inc.) 355 W 46th Street New York, NY 10036", New York , NEW YORK CITY , New York City," Missy Adriazola, VP Human Resources", (646) 556-5467, Restaurant,139, -----, 3/16/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1937,"Benchmark Conference Centers of New York, LLC - Mid-Hudson Region",https://labor.ny.gov/app/warn/details.asp?id=7207, 3/19/2020, 2019-0486, Elias Flores, Temporary Plant Closing,"      Benchmark Conference Centers of New York, LLCEdith Macy Center 550 Chappaqua Road Briarcliff Manor, NY 10510", Westchester , WESTCH/PTNM , Mid-Hudson, Donna Caldarola, (914) 945-8007, Hotel,40,40, 3/13/2020, 3/20/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1938,The Desmond Hotel and Conference Center - Capital Region,https://labor.ny.gov/app/warn/details.asp?id=7208, 3/19/2020, 2019-0467, Jackie Huertas, Temporary Plant Layoff,"      The Desmond Hotel and Conference Center 660 Albany-Shaker Road Albany, NY 12211", Albany , CAPITAL DISTRICT , Capital," Trudy Hinkle, Director of Human Resources", (518) 640-6164, Hotel,127,127, 3/17/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, New York Hotel & Motel Trades Council, Temporary Plant Layoff,
1939,Avant Gardner - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7209, 3/20/2020, 2019-0464, Stuart Goldberg, Temporary Plant Layoff,"      Avant Gardner 140 Stewart Ave. Brooklyn, NY 11237", Kings , NEW YORK CITY , New York City," Alexandra Jubault, People Operations Generalist", (646) 531-8956, Restaurant,53,53, 3/20/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1940,Baccarat Hotel New York - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7210, 3/20/2020, 2019-0465, Stuart Goldberg, Temporary Plant Closing,"      Baccarat Hotel New York 28 West 53rd Street New York, NY 10019", New York , NEW YORK CITY , New York City, Peter Ward, (212) 245-8100, Hotel,161,161, 3/20/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1941,Freeman Holdings LLC dba Freemans Restaurant - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7211, 3/16/2020, 2019-0436, Stuart Goldberg, Temporary Plant Closing,"      Freeman Holdings LLC dba Freemans Restaurant 191 Chrystie St. # 1R New York, NY 10002", New York , NEW YORK CITY , New York City," William Tigertt, Managing Member", (917) 365-1057, Restaurant,98,98, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1942,"One Melon, LLC dba JG Melon - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7212, 3/16/2020, 2019-0426, Stuart Goldberg, Temporary Plant Closing,"      One Melon, LLC dba JG Melon 89 MacDougal Street New York, NY 10012", New York , NEW YORK CITY , New York City," Susie Chester, Controller", (212) 799-2666, Restaurant,42,42, 3/15/2020, 3/15/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1943,MERCER STREET HOSPITALITY LLC - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7213, 3/15/2020, 2019-0458, Stuart Goldberg, Temporary Plant Layoff,"      MERCER STREET HOSPITALITY LLC 142 Mercer Street New York, NY 10012", New York , NEW YORK CITY , New York City," Joe McDonald, CFO", (212) 334-4900, Restaurant,3, -----, 3/15/2020, -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Layoff,
1944,"Express Yourself, LLC dba Made Nice - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=7214, 3/18/2020, 2019-0471, Stuart Goldberg, TemporaryPlant Closing,"      Express Yourself, LLC dba Made Nice 8 W 28th Street New York, NY 10001", New York , NEW YORK CITY , New York City," Jenn Walker, Director of Human Resources", (646) 747-2612, Restaurant,31,31, 3/16/2020, 3/16/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
1945,Gregorys Coffee Management LLC (25 NYC locations) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=7215, 3/19/2020, 2019-0466, Stuart Goldberg, Temporary Plant Closing,"      Gregorys Coffee Management LLC (25 NYC locations) 874 6th Avneue New York, NY 10001", New York , NEW YORK CITY , New York City," Drew Webster, Stores’ Liaison", (929) 320-0185, Coffee Shop,231,231, 3/22/2020, 3/22/2020, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union, Temporary Plant Closing,
